vin,year,make,model,trim,status,primary_pn,all_pns,expected_pns,matched,duration_s,error
4T1BF1FK6HU814871,2017,TOYOTA,Camry,LE/SE/XLE/XSE,NOT_DEALER_VERIFIED_BY_VIN,,,,unknown,59,
5TDBY5G12HS159141,2017,TOYOTA,Sequoia,SR5 Grade,NOT_DEALER_VERIFIED_BY_VIN,,,,unknown,174,
5TDZRKEC8TS306831,2026,TOYOTA,Sienna,Limited,DEALER_VERIFIED_BY_VIN,8990H-08021,"8990H-08021, 8990H-08022, 8990H-08043, 8990H-12561",,unknown,244,
JTNABAAE4TA024584,2026,TOYOTA,GR Corolla,,DEALER_VERIFIED_BY_VIN,8990H-12461,"8990H-12461, 8990H-42050, 8990H-42730, 8990H-42861, 8990H-60790",,unknown,323,
JTDACAAJ9T3040217,2026,TOYOTA,Crown Signia,,DEALER_VERIFIED_BY_VIN,8990H-08043,"8990H-08043, 8990H-30260",,unknown,393,
